"name"	"namealt"	"name_ar"	"name_bn"	"name_de"	"name_en"	"name_es"	"name_fr"	"name_el"	"name_hi"	"name_hu"	"name_id"	"name_it"	"name_ja"	"name_ko"	"name_nl"	"name_pl"	"name_pt"	"name_ru"	"name_sv"	"name_tr"	"name_vi"	"name_zh"	"name_fa"	"name_he"	"name_uk"	"name_ur"	"name_zht"	"min_lat"	"min_lon"	"max_lat"	"max_lon"
"Mafia I."	NA	"جزيرة مافيا"	"মাফিয়া আইল্যান্ড"	"Mafia"	"Mafia Island"	"Isla de Mafia"	"Mafia"	"Νήσος Μάφια"	"माफिया द्वीप"	"Mafia-sziget"	"Pulau Mafia"	"Mafia"	"マフィア島"	"마피아섬"	"Mafia Island"	"Mafia"	"Ilha de Mafia"	"Мафия"	"Mafiaön"	"Mafia Adası"	"Mafia"	"马菲亚岛"	"جزیره مافیا"	"מאפיה"	"Мафія"	"جزیرہ مافیا"	"马菲亚岛"	-7.99052734374993	39.6114300831624	-7.65113076731338	39.9066759921362
"Flores"	NA	"جزيرة فلوريس"	"ফ্লোরেস"	"Flores"	"Flores"	"Isla de Flores"	"Florès"	"Φλόρες"	"फ़्लोरेस"	"Flores"	"Pulau Flores"	"Flores"	"フローレス島"	"플로레스섬"	"Flores"	"Flores"	"Flores"	"Флорес"	"Flores"	"Flores"	"Flores"	"弗洛勒斯岛"	"فلورس"	"פלורס"	"Флорес"	"فلورس، انڈونیشیا"	"弗洛勒斯岛"	39.3589355468751	-31.2829589843749	39.5197150185023	-31.1371261812675
"Pico"	NA	"بيكو"	"পিকো"	"Pico"	"Pico Island"	"Isla del Pico"	"Pico"	"Πίκο"	"पिको द्वीप"	"Pico-sziget"	"Pulau Pico"	"Pico"	"ピコ島"	"피쿠섬"	"Pico"	"Pico"	"Ilha do Pico"	"Пику"	"Pico"	"Pico Adası"	"Đảo Pico"	"皮庫島"	"دریاراه پیکوک"	"פיקו"	"Піку"	"پیکو"	"皮庫島"	38.3849328911439	-28.548828125	38.5533691406251	-28.064794921875
"Terceira"	NA	"تيرسييرا"	"টেরেসিরা"	"Terceira"	"Terceira Island"	"Isla Terceira"	"Terceira"	"Τερσέιρα"	"ट्रेसिरा द्वीप"	"Terceira"	"Terceira"	"Terceira"	"テルセイラ島"	"테르세이라섬"	"Terceira"	"Terceira"	"Ilha Terceira"	"Терсейра"	"Terceira"	"Terceira"	"Đảo Terceira"	"特塞拉島"	"جزیره ترسیرا"	"טרסיירה"	"Терсейра"	"تیرکیرا"	"特塞拉島"	38.6340720781308	-27.3859375	38.8026855468751	-27.041943359375
"Santa Maria"	NA	"سانتا ماريا"	"সান্তা মারিয়া"	"Santa Maria"	"Santa Maria Island"	"Isla de Santa María"	"Santa Maria"	"Νήσος Σάντα Μαρία"	"सेंटा मारिया"	"Santa Maria"	"Pulau Santa Maria"	"Santa Maria"	"サンタマリア島"	"산타마리아섬"	"Santa Maria"	"Santa Maria"	"Santa Maria"	"Санта-Мария"	"Santa Maria"	"Santa Maria Adası"	"Đảo Santa Maria"	"聖瑪麗亞島"	"سانتا ماریا"	"האי סנטה מריה"	"Санта-Марія"	"سانتا ماریا"	"聖瑪麗亞島"	36.941552734375	-25.1976518037948	37.0240234374999	-25.0273437499999
"Fogo"	NA	"فوغو"	"ফোগো"	"Fogo"	"Fogo"	"Fogo"	"Fogo"	"Φόγκο"	"फोगो"	"Fogo"	"Fogo"	"Fogo"	"フォゴ島"	"포구섬"	"Fogo"	"Fogo"	"Ilha do Fogo"	"Фогу"	"Fogo"	"Fogo"	"Đảo Fogo"	"福古岛"	"فوگو، کیپ ورد"	"פוגו"	"Фогу"	"فوگو، کیپ ورڈی"	"福古岛"	14.8183531941358	-24.51708984375	15.0382812500001	-24.2959960055245
"São Nicolau"	NA	"ساو نيكولاو"	"সাও নিকোলাউ"	"São Nicolau"	"São Nicolau"	"Isla de São Nicolau"	"São Nicolau"	"Νησί Σάο Νικολάου"	"साओ निकोलौ"	"São Nicolau-sziget"	"São Nicolau"	"São Nicolau"	"サン・ニコラウ島"	"상니콜라우섬"	"São Nicolau"	"São Nicolau"	"Ilha de São Nicolau"	"Сан-Николау"	"São Nicolau"	"São Nicolau"	"Đảo São Nicolau"	"聖尼古勞島"	"سائو نیکولاو، کیپ ورد"	"סאו ניקולאו"	"Сао-Ніколау"	"سآو نیکولاو، کیپ ورڈی"	"聖尼古勞島"	16.4933174652007	-24.398095703125	16.677783203125	-24.0329483714788
"Santo Antão"	NA	"سانتو أنتاو"	"সান্তো আন্তো"	"Santo Antão"	"Santo Antão"	"Isla de Santo Antão"	"Santo Antão"	"Σάντο Αντάο"	"सैंटो अंताओ"	"Santo Antão-sziget"	"Santo Antão"	"Santo Antão"	"サント・アンタン島"	"산투안탕섬"	"Santo Antão"	"Santo Antão"	"Ilha de Santo Antão"	"Санту-Антан"	"Santo Antão"	"Santo Antão"	"Đảo Santo Antão"	"圣安唐岛"	"سانتو آنتیاو، کیپ ورد"	"האי סנטו אנטאו"	"Санту-Антан"	"سانتو انتآو، کیپ ورڈی"	"圣安唐岛"	16.9259277343751	-25.341552734375	17.1936523437501	-24.9796875
"Sal"	NA	"سال، الرأس الأخضر"	"সাল"	"Sal"	"Sal"	"Isla de Sal"	"Sal"	"Νησί Σαλ"	"साल"	"Sal"	"Sal"	"Ilha do Sal"	"サル島"	"살섬"	"Sal"	"Sal"	"Ilha do Sal"	"Сал"	"Sal"	"Sal"	"Đảo Sal"	"薩爾島"	"سال، کیپ ورد"	"סאל"	"Сал"	"سال، کیپ ورڈی"	"薩爾島"	16.60791015625	-22.99091796875	16.8436891829453	-22.888330078125
"Boa Vista"	NA	"بوا فيستا"	"বোয়া ভিস্তা"	"Boa Vista"	"Boa Vista"	"Isla de Boa Vista"	"Boa Vista"	"Νησί Μπόα Βίστα"	"बोआ विस्टा"	"Boa Vista"	"Boa Vista"	"Boa Vista"	"ボア・ヴィスタ島"	"보아비스타섬"	"Boa Vista"	"Boa Vista"	"Ilha da Boa Vista"	"Боавишта"	"Boa Vista"	"Boa Vista"	"Đảo Boa Vista"	"博阿維斯塔島"	"بوا ویستا، کیپ ورد"	"בואה ויסטה"	"Боавішта"	"بوا ویستا، کیپ ورڈی"	"博阿維斯塔島"	15.9861459948164	-22.95927734375	16.2372558593751	-22.6818847656249
"Fuerteventura"	NA	"فويرتيفنتورا"	"ফুয়েরতেভেঞ্চুরা"	"Fuerteventura"	"Fuerteventura"	"Fuerteventura"	"Fuerteventura"	"Φουερτεβεντούρα"	"फुएट्रेवेन्चुरा"	"Fuerteventura"	"Fuerteventura"	"Fuerteventura"	"フエルテベントゥラ島"	"푸에르테벤투라섬"	"Fuerteventura"	"Fuerteventura"	"Fuerteventura"	"Фуэртевентура"	"Fuerteventura"	"Fuerteventura"	"Fuerteventura"	"富埃特文图拉岛"	"فوئرتهونتورا"	"פוארטוונטורה"	"Фуертевентура"	"فويرتيفنتورا"	"富埃特文图拉岛"	28.0560965755181	-14.491796875	28.744677734375	-13.8271501895776
"Reunion"	NA	"لا ريونيون"	"রেউনিওঁ"	"Réunion"	"Réunion"	"Reunión"	"La Réunion"	"Ρεϋνιόν"	"रेयूनियों"	"Réunion"	"Réunion"	"Riunione"	"レユニオン"	"레위니옹"	"Réunion"	"Reunion"	"Reunião"	"Реюньон"	"Réunion"	"Réunion"	"Réunion"	"留尼汪"	"رئونیون"	"ראוניון"	"Реюньйон"	"غے یونیوں"	"留尼汪"	-21.3683591632311	55.2328125	-20.86513671875	55.8390625000001
"Hierro"	NA	"إل هييرو"	"হিয়েরো"	"El Hierro"	"El Hierro"	"El Hierro"	"El Hierro"	"Ελ Ιέρρο"	"हिएरो"	"Hierro"	"El Hierro"	"El Hierro"	"エル・イエロ島"	"엘이에로섬"	"Ferro"	"El Hierro"	"El Hierro"	"Иерро"	"El Hierro"	"El Hierro"	"El Hierro"	"耶罗岛"	"ال هیرو"	"האי היירו"	"Ієрро"	"ہائیرو"	"耶罗岛"	27.6463867187501	-18.160546875	27.850146484375	-17.8879394531249
"La Palma"	NA	"لا بالما"	"লা পালমা"	"La Palma"	"La Palma"	"La Palma"	"La Palma"	"Λα Πάλμα"	"ला पाल्मा"	"La Palma"	"La Palma"	"La Palma"	"ラ・パルマ島"	"라팔마섬"	"La Palma"	"La Palma"	"La Palma"	"Пальма"	"La Palma"	"La Palma"	"La Palma"	"拉帕爾瑪島"	"لا پالما"	"לה פלמה"	"Ла-Пальма"	"لا پالما"	"拉帕爾瑪島"	28.485693359375	-18.0007812499999	28.8467773437501	-17.726646157182
"St. Matthew I."	NA	"جزيرة سان ماثيو"	"সেন্ট ম্যাথিউ আইল্যান্ড"	"St.-Matthew-Insel"	"St. Matthew Island"	"Isla de San Mateo"	"île Saint-Matthieu"	"Άγιος Ματθαίος Α"	"सेंट मैथ्यू द्वीप"	"St. Matthew I."	"Pulau St. Matthew"	"Isola San Matteo"	"セントマシュー島"	"세인트 매튜 아일랜드"	"St. Matthew Island"	"Wyspy Świetego Mateusza"	"Ilha de São Mateus"	"Остров Святого Матвея"	"St. Matthew Island"	"St. Matthew Adası"	"Đảo St. Matthew"	"聖馬修島"	"جزیره سنت متیو"	"האי סנט מתיו"	"Острів Святого Матвія"	"سینٹ میتھیوز I."	"聖馬修島"	60.3164307341717	-173.057791587421	60.599813634108	-172.249750336055
"Atka"	NA	"أتكا"	"আতকা"	"Atka Island"	"Atka Island"	"Isla Atka"	"Atka"	"Άτκα"	"अटका"	"Atka"	"Atka"	"isola Atka"	"アトカ島"	"애트카섬"	"Atka Island"	"Atka"	"Ilha Atka"	"Атка"	"Atka"	"Atka"	"Đảo Atka"	"阿特卡島"	"آتکا"	"האי אטקה"	"Атка"	"جزیرہ اٹکا"	"阿特卡島"	52.0085683724638	-175.257001518798	52.3979171523186	-174.022588793223
"Pribilof Islands"	NA	"جزر بريبيلوف"	"প্রিবিলফ আইল্যান্ডস"	"Pribilof Islands"	"Pribilof Islands"	"Islas Pribilof"	"îles Pribilof"	"Νήσοι Πρίμπιλοφ"	"प्रिबिलोफ़ द्वीपसमूह"	"Pribilof-szigetek"	"Kepulauan Pribilof"	"Isole Pribilof"	"プリビロフ諸島"	"프리빌로프 제도"	"Pribilofeilanden"	"Wyspy Pribyłowa"	"Ilhas Pribilof"	"Острова Прибылова"	"Pribiloföarna"	"Pribilof Adaları"	"Đảo Pribilof"	"普里比洛夫群岛"	"جزایر پریبیلوف"	"איי פריבילוף"	"острови Прібілоф"	"پرائےبائلوف جزائر"	"普里比洛夫群岛"	56.5553042664003	-170.373086624533	57.2398605378931	-169.522147056171
"Prince Patrick I."	NA	"جزيرة الأمير باتريك"	"প্রিন্স প্যাট্রিক আইল্যান্ড"	"Prince Patrick Island"	"Prince Patrick Island"	"Isla del Príncipe Patrick"	"île du Prince-Patrick"	"Νήσος Πρίγκηπα Πάτρικ"	"प्रिंस पैट्रिक द्वीप"	"Prince Patrick-sziget"	"Pulau Prince Patrick"	"Isola del Principe Patrizio"	"プリンスパトリック島"	"프린스패트릭섬"	"Prins Patrickeiland"	"Wyspa Księcia Patryka"	"Ilha Prince Patrick"	"Принс-Патрик"	"Prince Patrick Island"	"Prens Patrick Adası"	"Đảo Prince Patrick"	"帕特里克王子岛"	"جزیره پرینس پاتریک"	"אי הנסיך פטריק"	"Острів Принца Патрика"	"جزیرہ پرنس پیٹرک"	"帕特里克王子岛"	75.8247558593751	-122.786198571415	77.5180949780433	-115.54097500514
"Bathurst I."	NA	"جزيرة باثرست"	"বাথার্স্ট আইল্যান্ড"	"Bathurst Island"	"Bathurst Island"	"Isla de Bathurst"	"île de Bathurst"	"Νήσος Μπάθερστ"	"बाथर्स्ट आई."	"Bathurst-sziget"	"Pulau Bathurst"	"isola Bathurst"	"バサースト島"	"배서스트 섬"	"Bathursteiland"	"Wyspa Bathursta"	"Ilha Bathurst"	"Батерст"	"Bathurst Island"	"Bathurst Adası"	"Đảo Bathurst"	"巴瑟斯特岛"	"جزیره باترست"	"האי באת'רסט"	"Батерст"	"جزیرہ باتھورست"	"巴瑟斯特岛"	74.983740234375	-102.661449366577	76.6310807659832	-97.3486843458293
"Mansel I."	NA	"جزيرة مانسيل"	"ম্যানসেল আইল্যান্ড"	"Mansel Island"	"Mansel Island"	"Isla Mansel"	"île Mansel"	"Νήσος Μάνσελ"	"मेंसल द्वीप"	"Mansel-sziget"	"Pulau Mansel"	"isola di Mansel"	"マンセル島"	"맨슬 아일랜드"	"Mansel Island"	"Wyspa Mansela"	"Ilha Mansel"	"Мансел"	"Mansel Island"	"Mansel Adası"	"Đảo Mansel"	"曼塞爾島"	"جزیره مانسل"	"מנובה"	"Мансел"	"مانسیل I."	"曼塞爾島"	61.5991636637788	-80.2798339843749	62.4112017513516	-79.2770979651475
"Coats I."	NA	"جزيرة كوتس"	"কোস্ট আইল্যান্ড"	"Coats Island"	"Coats Island"	"Isla Coats"	"île Coats"	"Νήσος Κόουτς"	"कोट्स द्वीप"	"Coats-sziget"	"Pulau Coats"	"Isola di Coats"	"コーツ島"	"코츠 아일랜드"	"Coats Island"	"Wyspa Coatsa"	"Ilha Coats"	"Котс"	"Coats Island"	"Coats Adası"	"Đảo Coats"	"科茨岛"	"جزیره کوتز"	"האי קואטס"	"Котс"	"کوٹس I۔"	"科茨岛"	62.1621795933484	-83.91240234375	62.9485846191844	-81.9485839843749
"King William I."	NA	"جزيرة الملك وليام"	"কিং উইলিয়াম আইল্যান্ড"	"King William Island"	"King William Island"	"Isla del Rey Guillermo"	"île du Roi-Guillaume"	"Νήσος Βασιλιά Ουίλιαμ"	"किंग विलियम द्वीप"	"Vilmos király-sziget"	"Pulau King William"	"Isola di Re Guglielmo"	"キングウィリアム島"	"킹윌리엄섬"	"Koning Willem-eiland"	"Wyspa Króla Williama"	"Ilha do Rei Guilherme"	"Кинг-Вильям"	"King Williams land"	"King William Adası"	"Đảo King William"	"威廉王島"	"جزیره کینگ ویلیام"	"אי המלך ויליאם"	"Кінґ-Вільям"	"جزیرہ کنگ ولیمز"	"威廉王島"	68.46083984375	-99.5127497823128	69.861284545606	-95.3907729445587
"Cornwallis I."	NA	"جزيرة كورنواليس"	"কর্নোয়ালিস আইল্যান্ড"	"Cornwallis Island"	"Cornwallis Island"	"Isla Cornwallis"	"île Cornwallis"	"Νήσος Κορνουάλις"	"कॉर्नवालिस द्वीप"	"Cornwallis-sziget"	"Pulau Cornwallis"	"isola Cornwallis"	"コーンウォリス島"	"콘월리스섬"	"Cornwallis"	"Wyspa Cornwallisa"	"Ilha Cornwallis"	"Корнуоллис"	"Cornwallis Island"	"Cornwallis Adası"	"Đảo Cornwallis"	"康沃利斯岛"	"جزیره کورنوالیس"	"האי קורנווליס"	"Корнуолліс"	"کورن والیس I۔"	"康沃利斯岛"	74.6459303651223	-96.5976653583962	75.6248233093691	-93.4634765625
"Somerset I."	NA	"جزيرة سومرست"	"সামারসেট দীপপুঞ্জ"	"Somerset Island"	"Somerset Island"	"Isla Somerset"	"île Somerset"	"Νήσος Σόμερσετ"	"समरसेट द्वीप"	"Somerset-sziget"	"Pulau Somerset"	"isola di Somerset"	"サマーセット島"	"서머싯섬"	"Somerseteiland"	"Wyspa Somerset"	"Ilha Somerset"	"Сомерсет"	"Somerset Island"	"Somerset Adası"	"Đảo Somerset"	"索默塞特岛"	"جزیره سامرست"	"האי סומרסט"	"Сомерсет"	"جزیرہ سمرسیٹ"	"索默塞特岛"	72.0127929687501	-95.6479980468749	74.1723181498036	-90.35458984375
"Bylot Island"	NA	"جزيرة بيلوت"	"বাইলট আইল্যান্ড"	"Bylot-Insel"	"Bylot Island"	"Isla Bylot"	"île Bylot"	"Μπάιλοτ"	"बायलॉट द्वीप"	"Bylot-sziget"	"Pulau Bylot"	"isola di Bylot"	"バイロト島"	"바이롯 아일랜드"	"Byloteiland"	"Wyspa Bylota"	"Ilha de Bylot"	"Байлот"	"Bylot Island"	"Bylot Adası"	"Đảo Bylot"	"拜洛特岛"	"جزیره بایلت"	"האי ביילוט"	"Байлот"	"جزیرہ بائلوٹ"	"拜洛特岛"	72.7636140087917	-80.831133719827	73.7216250671815	-76.1766968134703
"Akimiski I."	NA	"جزيرة أكيميسكي"	"আকিমিস্কি আইল্যান্ড"	"Akimiski Island"	"Akimiski Island"	"Isla Akimiski"	"île Akimiski"	"Νήσος Ακιμίσκι"	"ऐकिमिस्की द्वीप"	"Akimiski-sziget"	"Pulau Akimiski"	"Akimiski"	"アキミスキ島"	"아키미스키 I."	"Akimiski-eiland"	"Akimiski"	"Ilha Akimiski"	"Акимиски"	"Akimiski Island"	"Akimiski Adası"	"Đảo Akimiski"	"阿基米斯基島"	"جزیره آکیمیسکی"	"האי אקימיסקי"	"Акіміски"	"آکیمسکی I."	"阿基米斯基島"	52.733984375	-82.0383771116554	53.222052254197	-80.7190340464881
"Andros"	NA	"أندروس"	"আন্ড্রোস"	"Andros"	"Andros"	"Andros"	"Andros"	"Άντρος"	"एंड्रोस"	"Ándrosz"	"Andros"	"Andros"	"アンドロス島"	"안드로스 섬"	"Andros"	"Andros"	"Andros"	"Андрос"	"Andros"	"Andros"	"Andros"	"安德罗斯岛"	"آندروس، باهاما"	"אנדרוס"	"Андрос"	"اندروس، بہاماس"	"安德罗斯岛"	23.7512428455353	-78.4353027343749	25.1962670328132	-77.53203125
"Tarawa"	NA	"تاراوا"	"তারাওয়া"	"Tarawa"	"Tarawa"	"Tarawa"	"Tarawa"	"Ταράουα"	"टारावा"	"Tarawa"	"Tarawa"	"Tarawa"	"タラワ"	"타라와"	"Tarawa"	"Tarawa"	"Tarawa"	"Тарава"	"Tarawa"	"Tarawa"	"Tarawa"	"塔拉瓦环礁"	"تاراوا"	"טאראווה"	"Тарава"	"تاراوا"	"塔拉瓦环礁"	1.34892078516339	173.057017675213	1.38651988222898	173.162852409771
"Banaba"	"Ocean I."	"بانابا"	"বানাবা"	"Banaba"	"Banaba Island"	"Banaba"	"Banaba"	"Μπανάμπα Νήσος"	"बनाबा"	"Banaba"	"Pulau Banaba"	"Banaba"	"バナバ島"	"바나바섬"	"Banaba"	"Banaba"	"Banaba"	"Банаба"	"Banaba"	"Banaba Adası"	"Đảo Banaba"	"巴纳巴岛"	"بانابا"	"בנבה"	"Банаба"	"بانابا"	"巴纳巴岛"	-0.8759765625	169.52294921875	-0.846875000000011	169.5552734375
"Atafu"	NA	"أتافو"	"আতাফু"	"Atafu"	"Atafu"	"Atafu"	"Atafu"	"Αταφού"	"अताफू"	"Atafu"	"Atafu"	"Atafu"	"アタフ島"	"아타푸"	"Atafu"	"Atafu"	"Atafu"	"Атафу"	"Atafu"	"Atafu"	"Đảo Atafu"	"阿塔富岛"	"آتافو"	"האי אטאפו"	"Атафу"	"اتافو"	"亞塔夫島"	-8.58291015625002	-172.498681640625	-8.54648437499992	-172.479150390625
"Île Futuna"	NA	"فوتونا"	"ইলে ফুতুনা"	"Futuna"	"Futuna"	"Futuna"	"Futuna"	"Ίλ Φουτούνα"	"इले फ़्यूचूना"	"Futuna-sziget"	"Futuna"	"Futuna"	"フツナ島"	"일 푸투나"	"Futuna"	"Futuna"	"Futuna"	"Футуна"	"Futuna"	"Île Futuna"	"Futuna"	"富圖納島"	"جزیره فوتونا"	"האי פוטונה"	"Футуна"	"آئی فیوٹونا"	"富圖納島"	-14.318792956113	-178.189917171476	-14.2360970592339	-178.097227736855
"Starbuck"	NA	"ستاربوك"	"স্টারবাক"	"Starbuck"	"Starbuck Island"	"Isla Starbuck"	"Starbuck"	"Στάμπακ"	"स्टारबक"	"Starbuck"	"Starbuck"	"Starbuck"	"スターバック島"	"스타벅"	"Starbuck"	"Starbuck"	"Starbuck"	"Остров Старбак"	"Starbuck Island"	"Starbuck"	"Đảo Starbuck"	"斯塔巴克岛"	"استارباک"	"האי סטארבאק"	"Старбак"	"اسٹاربک"	"斯塔巴克島"	-5.6318359375	-155.92861328125	-5.60751953124992	-155.862353515625
"Anatahan"	NA	"أناتاهان"	"আনাতাহান"	"Anatahan"	"Anatahan"	"Anatahan"	"Anatahan"	"Αναταχάν"	"अनातहान"	"Anatahan"	"Anatahan"	"Anatahan"	"アナタハン島"	"아나타한"	"Anatahan"	"Anatahan"	"Anatahan"	"Анатахан"	"Anatahan"	"Anatahan"	"Đảo Anatahan"	"阿纳塔汉岛"	"آناتاهان"	"האי אנאטאהאן"	"Анатан"	"آناٹاہان"	"阿納塔罕島"	16.3321289062501	145.6310546875	16.379638671875	145.71953125
